entry_index,exit_index,instrument,direction,entry_price,exit_price,exit_reason,pnl_pips,confidence,mood
103,153,EUR_USD,bearish,1.09207,1.09377,Timeout Exit,-17.0,0.75,plunging
154,204,EUR_USD,bullish,1.09377,1.09243,Timeout Exit,-13.4,0.8,soaring
207,257,EUR_USD,bullish,1.09281,1.08605,Timeout Exit,-67.6,0.8,soaring
258,308,EUR_USD,bearish,1.08605,1.08564,Timeout Exit,4.1,0.8,plunging
571,613,EUR_USD,bullish,1.08677,1.09182,Trailing Stop,50.5,0.8,soaring
631,645,EUR_USD,bearish,1.08584,1.08141,Trailing Stop,44.3,0.8500000000000001,plunging
667,717,EUR_USD,bearish,1.08301,1.07654,Timeout Exit,64.7,0.65,climbing from valley
719,738,EUR_USD,bearish,1.07562,1.07437,Trailing Stop,12.5,0.8,plunging
749,799,EUR_USD,bearish,1.07402,1.07293,Timeout Exit,10.9,0.8,plunging
800,850,EUR_USD,bearish,1.07293,1.07835,Timeout Exit,-54.2,0.65,climbing from valley
872,893,EUR_USD,bullish,1.08025,1.07948,Trailing Stop,-7.7,0.8,soaring
902,952,EUR_USD,bullish,1.08655,1.09323,Timeout Exit,66.8,0.8,soaring
961,1011,EUR_USD,bullish,1.09217,1.08659,Timeout Exit,-55.8,0.65,slipping from heights
1015,1065,EUR_USD,bearish,1.08282,1.09235,Timeout Exit,-95.3,0.8,plunging
1244,1294,EUR_USD,bullish,1.09441,1.08935,Timeout Exit,-50.6,0.75,soaring
1303,1307,EUR_USD,bearish,1.08831,1.08983,Trailing Stop,-15.2,0.8,plunging
1312,1362,EUR_USD,bearish,1.08513,1.08785,Timeout Exit,-27.2,0.8,plunging
1363,1413,EUR_USD,bullish,1.08785,1.08361,Timeout Exit,-42.4,0.7000000000000001,slipping from heights
1414,1464,EUR_USD,bearish,1.08361,1.08317,Timeout Exit,4.4,0.65,climbing from valley
1474,1524,EUR_USD,bearish,1.08258,1.08794,Timeout Exit,-53.6,0.8,plunging
1526,1576,EUR_USD,bullish,1.08869,1.09134,Timeout Exit,26.5,0.8,soaring
1579,1585,EUR_USD,bullish,1.09199,1.09164,Trailing Stop,-3.5,0.8,soaring
1596,1646,EUR_USD,bullish,1.09122,1.08807,Timeout Exit,-31.5,0.8,soaring
1649,1690,EUR_USD,bullish,1.08852,1.09405,Trailing Stop,55.3,0.6000000000000001,drifting
1691,1703,EUR_USD,bullish,1.09405,1.09512,Trailing Stop,10.7,0.65,slipping from heights
1720,1770,EUR_USD,bearish,1.0915,1.0915,Timeout Exit,0.0,0.8,plunging
1916,1958,EUR_USD,bearish,1.09101,1.0908,Trailing Stop,2.1,0.8,plunging
1959,2009,EUR_USD,bullish,1.0908,1.08901,Timeout Exit,-17.9,0.8,soaring
2016,2066,EUR_USD,bullish,1.08925,1.08793,Timeout Exit,-13.2,0.8,soaring
2075,2097,EUR_USD,bullish,1.08951,1.09108,Trailing Stop,15.7,0.8500000000000001,soaring
2114,2143,EUR_USD,bullish,1.09214,1.09398,Trailing Stop,18.4,0.8,soaring
2157,2181,EUR_USD,bearish,1.09184,1.09315,Trailing Stop,-13.1,0.8,plunging
2187,2228,EUR_USD,bearish,1.09014,1.08915,Trailing Stop,9.9,0.75,plunging
2233,2283,EUR_USD,bullish,1.08996,1.08839,Timeout Exit,-15.7,0.8500000000000001,soaring
2292,2342,EUR_USD,bullish,1.08882,1.08439,Timeout Exit,-44.3,0.8,soaring
2345,2366,EUR_USD,bearish,1.08407,1.08288,Trailing Stop,11.9,0.8,plunging
2372,2422,EUR_USD,bearish,1.08131,1.07947,Timeout Exit,18.4,0.65,climbing from valley
2598,2648,EUR_USD,bullish,1.08032,1.08363,Timeout Exit,33.1,0.8,soaring
2649,2699,EUR_USD,bullish,1.08363,1.08487,Timeout Exit,12.4,0.8,soaring
2708,2758,EUR_USD,bullish,1.08514,1.08371,Timeout Exit,-14.3,0.8,soaring
2759,2809,EUR_USD,bearish,1.08371,1.08582,Timeout Exit,-21.1,0.8,plunging
2815,2841,EUR_USD,bullish,1.08656,1.08794,Trailing Stop,13.8,0.8,soaring
2849,2899,EUR_USD,bearish,1.0865,1.08842,Timeout Exit,-19.2,0.8500000000000001,plunging
2900,2950,EUR_USD,bearish,1.08842,1.09501,Timeout Exit,-65.9,0.8,plunging
2956,3006,EUR_USD,bullish,1.0964,1.08971,Timeout Exit,-66.9,0.8,soaring
3018,3068,EUR_USD,bullish,1.09138,1.083,Timeout Exit,-83.8,0.8500000000000001,soaring
3259,3309,EUR_USD,bullish,1.08311,1.08614,Timeout Exit,30.3,0.8,soaring
3312,3329,EUR_USD,bullish,1.08676,1.08753,Trailing Stop,7.7,0.8,soaring
3334,3384,EUR_USD,bullish,1.09006,1.09046,Timeout Exit,4.0,0.8,soaring
3396,3423,EUR_USD,bullish,1.09152,1.09033,Trailing Stop,-11.9,0.8,soaring
3425,3475,EUR_USD,bearish,1.08934,1.09142,Timeout Exit,-20.8,0.8,plunging
3483,3532,EUR_USD,bullish,1.09231,1.11138,Trailing Stop,190.7,0.8,soaring
3533,3583,EUR_USD,bullish,1.11138,1.10811,Timeout Exit,-32.7,0.8,soaring
3585,3609,EUR_USD,bullish,1.1114,1.11888,Trailing Stop,74.8,0.8,soaring
3619,3632,EUR_USD,bullish,1.11975,1.12005,Trailing Stop,3.0,0.8,soaring
3639,3689,EUR_USD,bullish,1.12152,1.1188,Timeout Exit,-27.2,0.8,soaring
3700,3706,EUR_USD,bearish,1.11961,1.11528,Trailing Stop,43.3,0.8,plunging
3711,3761,EUR_USD,bearish,1.11226,1.11561,Timeout Exit,-33.5,0.65,climbing from valley
3931,3981,EUR_USD,bearish,1.1144,1.11097,Timeout Exit,34.3,0.65,climbing from valley
3982,3992,EUR_USD,bearish,1.11097,1.11102,Trailing Stop,-0.5,0.75,plunging
4001,4019,EUR_USD,bullish,1.11894,1.11901,Trailing Stop,0.7,0.8500000000000001,soaring
4028,4047,EUR_USD,bullish,1.11993,1.121,Trailing Stop,10.7,0.8,soaring
4077,4090,EUR_USD,bullish,1.12162,1.12646,Trailing Stop,48.4,0.75,soaring
4096,4103,EUR_USD,bullish,1.13095,1.13111,Trailing Stop,1.6,0.8,soaring
4134,4184,EUR_USD,bullish,1.13039,1.12325,Timeout Exit,-71.4,0.8,soaring
4190,4240,EUR_USD,bearish,1.11811,1.12929,Timeout Exit,-111.8,0.8,plunging
4241,4269,EUR_USD,bullish,1.12929,1.13092,Trailing Stop,16.3,0.8,soaring
4273,4294,EUR_USD,bullish,1.13391,1.1347,Trailing Stop,7.9,0.8,soaring
4301,4351,EUR_USD,bullish,1.13377,1.12893,Timeout Exit,-48.4,0.8,soaring
4353,4380,EUR_USD,bearish,1.12782,1.12617,Trailing Stop,16.5,0.8,plunging
4384,4434,EUR_USD,bearish,1.12449,1.12532,Timeout Exit,-8.3,0.8,plunging
4603,4653,EUR_USD,bearish,1.12394,1.12073,Timeout Exit,32.1,0.65,climbing from valley
4657,4680,EUR_USD,bearish,1.11893,1.11587,Trailing Stop,30.6,0.8,plunging
4691,4741,EUR_USD,bearish,1.11486,1.11748,Timeout Exit,-26.2,0.65,climbing from valley
4742,4792,EUR_USD,bullish,1.11748,1.11427,Timeout Exit,-32.1,0.8,soaring
4803,4853,EUR_USD,bearish,1.11287,1.11284,Timeout Exit,0.3,0.8,plunging
4855,4905,EUR_USD,bearish,1.11218,1.11422,Timeout Exit,-20.4,0.8,plunging
4906,4956,EUR_USD,bullish,1.11422,1.10855,Timeout Exit,-56.7,0.8500000000000001,soaring
4959,5009,EUR_USD,bearish,1.10845,1.11253,Timeout Exit,-40.8,0.8,plunging
5010,5060,EUR_USD,bullish,1.11253,1.11285,Timeout Exit,3.2,0.8,soaring
5061,5111,EUR_USD,bullish,1.11285,1.11284,Timeout Exit,-0.1,0.8,soaring
5275,5325,EUR_USD,bearish,1.11168,1.10558,Timeout Exit,61.0,0.8,plunging
5326,5342,EUR_USD,bearish,1.10558,1.10322,Trailing Stop,23.6,0.8,plunging
5347,5397,EUR_USD,bearish,1.10191,1.10436,Timeout Exit,-24.5,0.8,plunging
5411,5461,EUR_USD,bullish,1.10424,1.10148,Timeout Exit,-27.6,0.8,soaring
5462,5512,EUR_USD,bullish,1.10148,1.09824,Timeout Exit,-32.4,0.7000000000000001,slipping from heights
5515,5524,EUR_USD,bearish,1.0981,1.09807,Trailing Stop,0.3,0.8,plunging
5534,5584,EUR_USD,bullish,1.10276,1.10224,Timeout Exit,-5.2,0.8,soaring
5588,5638,EUR_USD,bullish,1.10315,1.10339,Timeout Exit,2.4,0.8,soaring
5641,5691,EUR_USD,bullish,1.10332,1.10517,Timeout Exit,18.5,0.8,soaring
5696,5746,EUR_USD,bullish,1.10584,1.09393,Timeout Exit,-119.1,0.8,soaring
5753,5803,EUR_USD,bearish,1.093,1.093,Timeout Exit,0.0,0.75,plunging
5947,5997,EUR_USD,bearish,1.09231,1.08866,Timeout Exit,36.5,0.6,climbing from valley
5998,6030,EUR_USD,bearish,1.08866,1.08833,Trailing Stop,3.3,0.8,plunging
6038,6088,EUR_USD,bearish,1.08742,1.08656,Timeout Exit,8.6,0.8,plunging
6090,6140,EUR_USD,bearish,1.08602,1.08686,Timeout Exit,-8.4,0.8,plunging
6141,6191,EUR_USD,bullish,1.08686,1.08525,Timeout Exit,-16.1,0.8,soaring
6193,6212,EUR_USD,bearish,1.08539,1.08475,Trailing Stop,6.4,0.8,plunging
6219,6269,EUR_USD,bullish,1.08604,1.08603,Timeout Exit,-0.1,0.8500000000000001,soaring
6272,6322,EUR_USD,bullish,1.08693,1.09639,Timeout Exit,94.6,0.8,soaring
6323,6373,EUR_USD,bullish,1.09639,1.09674,Timeout Exit,3.5,0.8,soaring
6375,6390,EUR_USD,bullish,1.09658,1.09291,Trailing Stop,-36.7,0.8,soaring
6391,6441,EUR_USD,bearish,1.09291,1.10055,Timeout Exit,-76.4,0.8500000000000001,plunging
6619,6669,EUR_USD,bearish,1.0994,1.09413,Timeout Exit,52.7,0.6,climbing from valley
6670,6720,EUR_USD,bearish,1.09413,1.10144,Timeout Exit,-73.1,0.8,plunging
